"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"77","Los Angeles Lakers","1610612747","0042400163","2025-04-25","LAL vs. MIN","Game 3","Fri May 16 14:46:19","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 3","#552583","#236192","2024-25"
"78","Los Angeles Lakers","1610612747","0042400164","2025-04-27","LAL vs. MIN","Game 4","Fri May 16 14:46:19","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 4","#552583","#236192","2024-25"
"79","Los Angeles Lakers","1610612747","0042400165","2025-04-30","LAL vs. MIN","Game 5","Fri May 16 14:46:19","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 5","#552583","#236192","2024-25"
"80","Memphis Grizzlies","1610612763","0042400141","2025-04-20","MEM vs. OKC","Game 1","Fri May 16 14:46:19","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 1","#5D76A9","#007AC1","2024-25"
"81","Memphis Grizzlies","1610612763","0042400142","2025-04-22","MEM vs. OKC","Game 2","Fri May 16 14:46:19","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 2","#5D76A9","#007AC1","2024-25"
"82","Memphis Grizzlies","1610612763","0042400143","2025-04-24","MEM vs. OKC","Game 3","Fri May 16 14:46:19","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 3","#5D76A9","#007AC1","2024-25"
"83","Memphis Grizzlies","1610612763","0042400144","2025-04-26","MEM vs. OKC","Game 4","Fri May 16 14:46:19","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 4","#5D76A9","#007AC1","2024-25"
"84","Miami Heat","1610612748","0042400101","2025-04-20","MIA vs. CLE","Game 1","Fri May 16 14:46:19","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 1","#98002E","#860038","2024-25"
"85","Miami Heat","1610612748","0042400102","2025-04-23","MIA vs. CLE","Game 2","Fri May 16 14:46:19","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 2","#98002E","#860038","2024-25"
"86","Miami Heat","1610612748","0042400103","2025-04-26","MIA vs. CLE","Game 3","Fri May 16 14:46:19","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 3","#98002E","#860038","2024-25"
"87","Miami Heat","1610612748","0042400104","2025-04-28","MIA vs. CLE","Game 4","Fri May 16 14:46:19","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 4","#98002E","#860038","2024-25"
"88","Milwaukee Bucks","1610612749","0042400131","2025-04-19","MIL vs. IND","Game 1","Fri May 16 14:46:19","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 1","#00471B","#002D62","2024-25"
"89","Milwaukee Bucks","1610612749","0042400132","2025-04-22","MIL vs. IND","Game 2","Fri May 16 14:46:19","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 2","#00471B","#002D62","2024-25"
"90","Milwaukee Bucks","1610612749","0042400133","2025-04-25","MIL vs. IND","Game 3","Fri May 16 14:46:19","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 3","#00471B","#002D62","2024-25"
"91","Milwaukee Bucks","1610612749","0042400134","2025-04-27","MIL vs. IND","Game 4","Fri May 16 14:46:19","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 4","#00471B","#002D62","2024-25"
"92","Milwaukee Bucks","1610612749","0042400135","2025-04-29","MIL vs. IND","Game 5","Fri May 16 14:46:19","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 5","#00471B","#002D62","2024-25"
"93","Minnesota Timberwolves","1610612750","0042400161","2025-04-19","MIN vs. LAL","Game 1","Fri May 16 14:46:19","Los Angeles Lakers","2025-04-19",1,"Round 1: MIN vs. LAL, Game 1","#236192","#552583","2024-25"
"94","Minnesota Timberwolves","1610612750","0042400162","2025-04-22","MIN vs. LAL","Game 2","Fri May 16 14:46:19","Los Angeles Lakers","2025-04-19",1,"Round 1: MIN vs. LAL, Game 2","#236192","#552583","2024-25"
"95","Minnesota Timberwolves","1610612750","0042400163","2025-04-25","MIN vs. LAL","Game 3","Fri May 16 14:46:19","Los Angeles Lakers","2025-04-19",1,"Round 1: MIN vs. LAL, Game 3","#236192","#552583","2024-25"
"96","Minnesota Timberwolves","1610612750","0042400164","2025-04-27","MIN vs. LAL","Game 4","Fri May 16 14:46:19","Los Angeles Lakers","2025-04-19",1,"Round 1: MIN vs. LAL, Game 4","#236192","#552583","2024-25"
"97","Minnesota Timberwolves","1610612750","0042400165","2025-04-30","MIN vs. LAL","Game 5","Fri May 16 14:46:19","Los Angeles Lakers","2025-04-19",1,"Round 1: MIN vs. LAL, Game 5","#236192","#552583","2024-25"
"98","Minnesota Timberwolves","1610612750","0042400231","2025-05-06","MIN vs. GSW","Game 1","Fri May 16 14:46:19","Golden State Warriors","2025-05-06",2,"Round 2: MIN vs. GSW, Game 1","#236192","#1D428A","2024-25"
"99","Minnesota Timberwolves","1610612750","0042400232","2025-05-08","MIN vs. GSW","Game 2","Fri May 16 14:46:19","Golden State Warriors","2025-05-06",2,"Round 2: MIN vs. GSW, Game 2","#236192","#1D428A","2024-25"
"100","Minnesota Timberwolves","1610612750","0042400233","2025-05-10","MIN vs. GSW","Game 3","Fri May 16 14:46:19","Golden State Warriors","2025-05-06",2,"Round 2: MIN vs. GSW, Game 3","#236192","#1D428A","2024-25"
"101","Minnesota Timberwolves","1610612750","0042400234","2025-05-12","MIN vs. GSW","Game 4","Fri May 16 14:46:19","Golden State Warriors","2025-05-06",2,"Round 2: MIN vs. GSW, Game 4","#236192","#1D428A","2024-25"
"102","Minnesota Timberwolves","1610612750","0042400235","2025-05-14","MIN vs. GSW","Game 5","Fri May 16 14:46:19","Golden State Warriors","2025-05-06",2,"Round 2: MIN vs. GSW, Game 5","#236192","#1D428A","2024-25"
"103","New York Knicks","1610612752","0042400121","2025-04-19","NYK vs. DET","Game 1","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 1","#006BB6","#C8102E","2024-25"
"104","New York Knicks","1610612752","0042400122","2025-04-21","NYK vs. DET","Game 2","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 2","#006BB6","#C8102E","2024-25"
"105","New York Knicks","1610612752","0042400123","2025-04-24","NYK vs. DET","Game 3","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 3","#006BB6","#C8102E","2024-25"
"106","New York Knicks","1610612752","0042400124","2025-04-27","NYK vs. DET","Game 4","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 4","#006BB6","#C8102E","2024-25"
"107","New York Knicks","1610612752","0042400125","2025-04-29","NYK vs. DET","Game 5","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 5","#006BB6","#C8102E","2024-25"
"108","New York Knicks","1610612752","0042400126","2025-05-01","NYK vs. DET","Game 6","Fri May 16 14:46:19","Detroit Pistons","2025-04-19",1,"Round 1: NYK vs. DET, Game 6","#006BB6","#C8102E","2024-25"
"109","New York Knicks","1610612752","0042400211","2025-05-05","NYK vs. BOS","Game 1","Fri May 16 14:46:19","Boston Celtics","2025-05-05",2,"Round 2: NYK vs. BOS, Game 1","#006BB6","#007A33","2024-25"
"110","New York Knicks","1610612752","0042400212","2025-05-07","NYK vs. BOS","Game 2","Fri May 16 14:46:19","Boston Celtics","2025-05-05",2,"Round 2: NYK vs. BOS, Game 2","#006BB6","#007A33","2024-25"
